"","avg_2018","avg_2019","bar_name","municipal","avg_2018_percent","avg_2019_percent"
"251",2,2.2,"Bus B St @ W 5th St","Boston",0,0
"252",0,0,"Bus B St @ W 6th St","Boston",0,0
"253",5.9,5.2,"Bus W 7th St @ C St","Boston",0,0
"254",17.8,16,"Bus W 7th St @ D St","Boston",0,0
"255",8,4.9,"Bus W 7th St @ E St","Boston",0,0
"256",4.1,6.5,"Bus W 7th St @ F St","Boston",0,0
"257",2.6,3.9,"Bus W 7th St @ Dorchester St","Boston",0,0
"258",17.4,16.9,"Bus E 8th St @ Dorchester St","Boston",0,0
"259",7.6,5.4,"Bus E 8th St @ Old Harbor St","Boston",0,0
"260",1.7,2.1,"Bus E 8th St @ Covington St","Boston",0,0
"261",4.1,3.1,"Bus E 8th St @ G St","Boston",0,0
"262",4.6,3.7,"Bus E 8th St @ H St","Boston",0,0
"263",1,3.4,"Bus E 8th St @ I St","Boston",0,0
"264",1.3,0.6,"Bus E 8th St @ K St","Boston",0,0
"265",1.1,0.9,"Bus E 8th St @ L St","Boston",0,0
"266",0.1,0.4,"Bus E 8th St @ M St","Boston",0,0
"267",0,0.2,"Bus E 8th St @ N St","Boston",0,0
"268",0,0.2,"Bus Columbia Rd @ O St","Boston",0,0
"269",6.6,13.9,"Bus W 7th St @ B St","Boston",0,0
"270",0,0,"Bus Columbia Rd @ P St","Boston",0,0
"271",40.6,51.4,"Bus E 8th @ Columbia Rd","Boston",0,0
"272",44.2,46.5,"Bus E 8th St @ M St","Boston",0,0
"273",63.3,74.3,"Bus E 8th St @ L St","Boston",0,0
"274",70.6,78.3,"Bus E 8th St @ K St","Boston",0,0
"275",95.9,98.4,"Bus E 8th St @ I St","Boston",0,0
"276",153.3,154.2,"Bus E 8th St @ H St","Boston",0,0
"277",138.8,147.6,"Bus E 8th St @ G St","Boston",0,0
"278",37.9,51.2,"Bus E 8th St @ Covington St","Boston",0,0
"279",71.9,74.2,"Bus E 8th St @ Old Harbor St","Boston",0,0
"280",110.6,103.2,"Bus E 8th St @ Mercer St","Boston",0,0
"281",104.3,82.5,"Bus E 8th St @ Dorchester St","Boston",0,0
"282",75.3,75.4,"Bus W 6th St @ F St","Boston",0,0
"283",80.1,77.7,"Bus W 6th St @ E St","Boston",0,0
"284",69.3,75.8,"Bus W 6th St @ D St","Boston",0,0
"285",71.8,62.8,"Bus W 7th St @ D St","Boston",0,0
"286",47.6,44.3,"Bus W 7th St @ C St","Boston",0,0
"287",27.1,29.8,"Bus W 7th @ B Street","Boston",0,0
"288",10.1,12.4,"Bus P St @ E 5th St","Boston",0,0
"289",10.2,14,"Bus P St @ Columbia Rd","Boston",0,0
"290",2.2,0.1,"Bus Dorchester Ave @ Edison Green","Boston",0,0
"291",11.3,14.6,"Bus Dorchester Ave @ Cottage St","Boston",0,0
"292",4,2.7,"Bus Dorchster Ave @ Howes St","Boston",0,0
"293",3.7,3.5,"Bus Dorchester Ave @ Mayfield St","Boston",0,0
"294",1.7,1.7,"Bus Dorchester Ave @ Pearl St","Boston",0,0
"295",2.8,3.1,"Bus Dorchester Ave @ Thornley Rd","Boston",0,0
"296",4.2,3.1,"Bus Auckland St @ Dewar St","Boston",0,0
"297",4.7,4,"Bus Dorchester Ave @ Hancock St","Boston",0,0
"298",4,6.1,"Bus Dorchester Ave @ Linden St","Boston",0,0
"299",16.6,21.3,"Bus Dorchester Ave @ Ellet St","Boston",0,0
"300",3.3,5,"Bus Dorchester Ave @ Adams St","Boston",0,0
"301",11.3,7.7,"Bus Geneva Ave opp Vinson St","Boston",0,0
"302",77.4,67.7,"Bus Park St Busway @ Dorchester Ave","Boston",0,0
"303",2.7,3.4,"Bus Dorchester Ave opp Gibson St","Boston",0,0
"304",0.5,0.5,"Bus Dorchester Ave @ Melville Ave","Boston",0,0
"305",1.4,2.6,"Bus 1621 Dorchester Ave opp Dix St","Boston",0,0
"306",2.9,6.1,"Bus Dorchester Ave @ Centre St","Boston",0,0
"307",2.1,2.5,"Bus Dorchester Ave @ Cheverus Rd","Boston",0,0
"308",1.3,1.7,"Bus Dorchester Ave opp Shepton St","Boston",0,0
"309",0.9,1.1,"Bus Dorchester Ave @ Banton St","Boston",0,0
"310",7.7,9.9,"Bus Dorchester Ave @ Msgr Lydon Way","Boston",0,0
"311",6.8,4.6,"Bus Dorchester Ave @ Shepton St","Boston",0,0
"312",5.3,5.5,"Bus Dorchester Ave @ King St","Boston",0,0
"313",3.7,3.1,"Bus Dorchester Ave @ Centre St","Boston",0,0
"314",2.9,4.1,"Bus Dorchester Ave @ Dix St","Boston",0,0
"315",0.9,1.4,"Bus Dorchester Ave @ Parkman St","Boston",0,0
"316",1.4,1.8,"Bus Dorchester Ave @ Gibson St","Boston",0,0
"317",5.1,6.2,"Bus Dorchester Ave opp Charles St","Boston",0,0
"318",6.1,4.8,"Bus Dorchester Ave @ Adams St","Boston",0,0
"319",9.7,9.5,"Bus Dorchester Ave @ Kimball St","Boston",0,0
"320",4.7,3.3,"Bus Dorchester Ave @ Linden St","Boston",0,0
"321",5.2,3.7,"Bus Dorchester Ave @ Hoyt St","Boston",0,0
"322",3,4.8,"Bus Dorchester Ave @ Dewar St","Boston",0,0
"323",4.8,4.4,"Bus Dorchester Ave @ Savin Hill Ave","Boston",0,0
"324",1.5,1.4,"Bus Dorchester Ave @ Belfort St","Boston",0,0
"325",2.5,4.4,"Bus Dorchester Ave @ Romsey St","Boston",0,0
"326",2.7,3,"Bus Dorchester Ave @ Crescent Ave","Boston",0,0
"327",169.3,165.5,"Bus Columbia Rd @ Holden St","Boston",0,0
"328",340.6,352.7,"Bus Talbot Ave @ Dorchester Ave","Boston",0,0
"329",172,190.8,"Bus Talbot Ave @ Welles Ave","Boston",0,0
"330",529.6,521.3,"Bus Talbot Ave @ Centre St","Boston",0.1,0.1
"331",265.2,264.7,"Bus Talbot Ave @ Southern Ave","Boston",0,0
"332",126.2,131.9,"Bus Talbot Ave @ Spencer St","Boston",0,0
"333",120.3,114.9,"Bus Talbot Ave @ Talbot Station","Boston",0,0
"334",109.8,108.3,"Bus Talbot Ave @ Bernard St","Boston",0,0
"335",98,93.5,"Bus Talbot Ave @ Kerwin St","Boston",0,0
"336",43.8,65,"Bus Talbot Ave @ Nightingale St","Boston",0,0
"337",268.1,286.3,"Bus Blue Hill Ave @ Wales St","Boston",0,0
"338",188.3,189,"Bus Blue Hill Ave @ Charlotte St","Boston",0,0
"339",678.8,680.4,"Bus Blue Hill Ave @ Ellington St","Boston",0.1,0.1
"340",178.2,190.8,"Bus Blue Hill Ave @ Pasadena Rd","Boston",0,0
"341",236.2,228.4,"Bus Blue Hill Ave @ Castlegate Rd","Boston",0,0
"342",547,524.1,"Bus Warren St @ Sunderland St","Boston",0.1,0.1
"343",227.7,226,"Bus Warren St @ Intervale St","Boston",0,0
"344",278.8,272.1,"Bus Warren St @ Gaston St","Boston",0,0
"345",657.9,627.9,"Bus Warren St @ Quincy St","Boston",0.1,0.1
"346",478.7,476,"Bus Warren St @ Maywood St","Boston",0.1,0.1
"347",318.4,347.1,"Bus Warren St @ Woodbine St","Boston",0,0
"348",301.3,321.2,"Bus Warren St @ Waverly St","Boston",0,0
"349",86.6,86.7,"Bus Warren St @ Whiting St","Boston",0,0
"350",95.7,89.5,"Bus Warren St @ Moreland St","Boston",0,0
"351",119.1,110.7,"Bus Warren St @ Walnut Ave","Boston",0,0
"352",197.4,171.8,"Bus Warren St opp Waverly St","Boston",0,0
"353",240.4,289.7,"Bus Warren St opp Woodbine St","Boston",0,0
"354",445.8,462.8,"Bus Warren St @ ML King Blvd","Boston",0,0.1
"355",558.1,592.4,"Bus Warren St @ Townsend St","Boston",0.1,0.1
"356",184.9,170.6,"Bus Warren St @ Waumbeck St","Boston",0,0
"357",157.3,148.5,"Bus Warren St @ Brunswick St","Boston",0,0
"358",327.6,316.9,"Bus Warren St @ Crawford St","Boston",0,0
"359",227.5,217.5,"Bus Blue Hill Ave @ Wayne St","Boston",0,0
"360",89.3,86,"Bus Blue Hill Ave @ Seaver St","Boston",0,0
"361",438.5,479.8,"Bus Blue Hill Ave @ Franklin Park Rd","Boston",0,0.1
"362",133.3,154.6,"Bus Blue Hill Ave opp McLellan St","Boston",0,0
"363",126.8,141.1,"Bus Blue Hill Ave @ American Legion Hwy","Boston",0,0
"364",270,268.6,"Bus Blue Hill Ave @ Angell St","Boston",0,0
"365",153.9,200.8,"Bus Talbot Ave opp Nightingale St","Boston",0,0
"366",87,85.5,"Bus Talbot Ave opp Kerwin St","Boston",0,0
"367",109.8,112.7,"Bus Talbot Ave @ Bernard St","Boston",0,0
"368",61.1,66.5,"Bus Talbot Ave @ Talbot Station","Boston",0,0
"369",59.4,61.2,"Bus Talbot Ave @ Colonial Ave","Boston",0,0
"370",46.9,49.1,"Bus Talbot Ave @ Norfolk St","Boston",0,0
"371",329.9,324,"Bus Talbot Ave @ Lithgow St","Boston",0,0
"372",27.3,30.6,"Bus Talbot Ave @ Welles Ave","Boston",0,0
"373",10.8,8.2,"Bus Talbot Ave @ Dorchester Ave","Boston",0,0
"374",10.4,10.5,"Bus 355 Norfolk St opp Withington St","Boston",0,0
"375",6.3,8.4,"Bus Norfolk St @ Darlington St","Boston",0,0
"376",10.3,20.6,"Bus Norfolk St @ Milton Ave","Boston",0,0
"377",16.1,15.2,"Bus Norfolk St @ Charles Rd","Boston",0,0
"378",8.5,5.2,"Bus Washington St @ Welles Ave","Boston",0,0
"379",19.4,18.8,"Bus 227 Norfolk St opp Stanton St","Boston",0,0
"380",17.1,11.8,"Bus 247 Norfolk St opp Capen St","Boston",0,0
"381",12.2,9.1,"Bus Norfolk St opp Nelson St","Boston",0,0
"382",9.6,13,"Bus Norfolk St @ Willowwood St","Boston",0,0
"383",32.9,41.2,"Bus Norfolk St @ Morton St","Boston",0,0
"384",312.1,297,"Bus Washington St @ Kenwood St","Boston",0,0
"385",171,161,"Bus Washington St @ Melville Ave","Boston",0,0
"386",204.9,213.7,"Bus Washington St @ Park St","Boston",0,0
"387",120.1,130.5,"Bus Washington St opp Algonquin St","Boston",0,0
"388",330.2,319.7,"Bus Washington St @ Bowdoin St","Boston",0,0
"389",111.2,109.6,"Bus Washington St @ Vassar St","Boston",0,0
"390",202,212.8,"Bus Washington Street @ Four Corners / Geneva Station","Boston",0,0
"391",294.7,305,"Bus Washington St @ Columbia Rd","Boston",0,0
"392",129,141.7,"Bus Washington St @ Joe L Smith Way","Boston",0,0
"393",70.6,74.1,"Bus Washington St @ Blue Hill Ave","Boston",0,0
"394",242.9,238.5,"Bus Washington St @ Blue Hill Ave","Boston",0,0
"395",89.9,103.4,"Bus Washington St @ Jeremiah Burke HS","Boston",0,0
"396",177.9,182,"Bus Washington St @ Columbia Rd","Boston",0,0
"397",202,193.8,"Bus Washington Street @ Four Corners / Geneva Station","Boston",0,0
"398",75.1,74.3,"Bus Washington St @ Vassar St","Boston",0,0
"399",176.2,191.7,"Bus Washington St @ Harvard St","Boston",0,0
"400",62.5,63.5,"Bus Washington St @ Algonquin St","Boston",0,0
"401",82.2,93.6,"Bus Washington St @ Park St","Boston",0,0
"402",67,63.9,"Bus Washington St @ Wheatland Ave","Boston",0,0
"403",106.6,98.2,"Bus Washington St @ Southern Ave","Boston",0,0
